;Итерация;Лейер;Выплаты;Доля_в_выплатах;Восст_прем
588;148;0;4135026,56;0,0;0,0
589;148;1;10250597,360000001;1600000,0;140280,0
590;148;2;3016176,0;16176,0;287,93
591;148;3;0,0;0,0;0,0
592;149;0;4069205,15;0,0;0,0
593;149;1;9747992,19;1600000,0;140280,0
594;149;2;3134058,21;134058,20999999996;2386,24
595;149;3;0,0;0,0;0,0
596;150;0;4074746,1100000003;0,0;0,0
597;150;1;9476060,33;1600000,0;140280,0
598;150;2;1005392,0;5392,0;95,98
599;150;3;0,0;0,0;0,0
600;151;0;4872497,31;0,0;0,0
601;151;1;8186688,4;1600000,0;140280,0
602;151;2;1131066,0;131066,0;2332,97
603;151;3;0,0;0,0;0,0
604;152;0;3826059,51;0,0;0,0
605;152;1;5658070,56;1600000,0;140280,0
606;152;2;1005392,0;5392,0;95,98
607;152;3;0,0;0,0;0,0
608;153;0;4320713,21;0,0;0,0
609;153;1;8259967,51;1600000,0;140280,0
610;153;2;1508088,0;8088,0;143,97
611;153;3;0,0;0,0;0,0
612;154;0;3864243,19;0,0;0,0
613;154;1;7976368,88;1600000,0;140280,0
614;154;2;3016176,0;16176,0;287,93
615;154;3;0,0;0,0;0,0
616;155;0;5018756,579999999;0,0;0,0
617;155;1;9848157,510000002;1600000,0;140280,0
618;155;2;2513480,0;13480,0;239,94
619;155;3;0,0;0,0;0,0
620;156;0;4055057,9899999998;0,0;0,0
621;156;1;8563740,91;1600000,0;140280,0
622;156;2;1005392,0;5392,0;95,98
623;156;3;0,0;0,0;0,0
624;157;0;4283195,99;0,0;0,0
625;157;1;6112432,84;1600000,0;140280,0
626;157;2;1508088,0;8088,0;143,97
627;157;3;0,0;0,0;0,0
628;158;0;4028042,3000000003;0,0;0,0
629;158;1;11194801,430000002;1600000,0;140280,0
630;158;2;2105039,5;105039,5;1869,7
631;158;3;0,0;0,0;0,0
632;159;0;3136768,3900000006;0,0;0,0
633;159;1;6771324,760000002;1600000,0;140280,0
634;159;2;2105039,5;105039,5;1869,7
635;159;3;0,0;0,0;0,0
636;160;0;3799130,94;0,0;0,0
637;160;1;6095869,540000001;1600000,0;140280,0
638;160;2;1005392,0;5392,0;95,98
639;160;3;0,0;0,0;0,0
640;161;0;4288660,78;0,0;0,0
641;161;1;8211816,959999999;1600000,0;140280,0
642;161;2;2010784,0;10784,0;191,96
643;161;3;0,0;0,0;0,0
644;162;0;3935825,5899999994;0,0;0,0
645;162;1;7782603,21;1600000,0;140280,0
646;162;2;1005392,0;5392,0;95,98
647;162;3;0,0;0,0;0,0
648;163;0;5320693,109999999;0,0;0,0
649;163;1;6050519,490000001;1600000,0;140280,0
650;163;2;1508088,0;8088,0;143,97
651;163;3;0,0;0,0;0,0
