Итерация;Выплаты;Доля_в_выплатах;Восст_прем;Премия_Re;Фин_рез;Процент_доли
265;16473826,34;1707735,5;142197,69;4000000,0;2434462,19;0,1036635608968062
266;14528646,29;1602696,0;140327,99;4000000,0;2537631,99;0,11031282392105095
267;13010770,12;1610784,0;140471,96;4000000,0;2529687,96;0,12380389363147092
268;16665977,620000001;2027608,71;147891,44;4000000,0;2120282,73;0,12166155242922976
269;16628542,34;1616176,0;140567,93;4000000,0;2524391,93;0,09719288479738146
270;13038944,690000001;1608088,0;140423,97;4000000,0;2532335,97;0,12332961280473073
271;13420325,68;1733762,0;142660,96;4000000,0;2408898,96;0,1291892642056955
272;12312862,6;1605392,0;140375,98;4000000,0;2534983,98;0,13038332775678013
273;12874984,14;1610784,0;140471,96;4000000,0;2529687,96;0,1251095910087855
274;10192009,75;1600000,0;140280,0;4000000,0;2540280,0;0,1569857210939187
275;14152508,18;1613480,0;140519,94;4000000,0;2527039,94;0,11400664670027416
276;15896750,430000002;1608088,0;140423,97;4000000,0;2532335,97;0,1011582843349702
277;14570075,18;1610784,0;140471,96;4000000,0;2529687,96;0,11055426825875857
278;17398644,71;6100000,0;308580,0;4000000,0;-1791420,0;0,350602021115701
279;14141905,36;1610784,0;140471,96;4000000,0;2529687,96;0,11390148349854323
280;11614112,1;1602696,0;140327,99;4000000,0;2537631,99;0,1379955683396581
281;17072212,61;1613480,0;140519,94;4000000,0;2527039,94;0,09450913228756938
282;20318434,68;6102696,0;308627,99;4000000,0;-1794068,0099999998;0,3003526647654139
283;15173972,530000001;1600000,0;140280,0;4000000,0;2540280,0;0,10544371270191036
284;13885929,14;1605392,0;140375,98;4000000,0;2534983,98;0,11561286132272457
285;12147397,280000001;1613480,0;140519,94;4000000,0;2527039,94;0,13282516104552727
286;15991726,52;1616176,0;140567,93;4000000,0;2524391,93;0,101063259053282
287;12348706,780000001;1699647,5;142053,73;4000000,0;2442406,23;0,13763769196890752
288;16756950,58;1605392,0;140375,98;4000000,0;2534983,98;0,09580454345411096
289;12452581,870000001;1602696,0;140327,99;4000000,0;2537631,99;0,12870391190610175
290;11465563,91;1602696,0;140327,99;4000000,0;2537631,99;0,13978344306311577
291;18896879,64;1838801,5;144530,67;4000000,0;2305729,17;0,09730714991207934
292;14848333,82;1608088,0;140423,97;4000000,0;2532335,97;0,1083009056432973
293;18110049,78;1616176,0;140567,93;4000000,0;2524391,93;0,08924194133275319
294;20564539,72;6102696,0;308627,99;4000000,0;-1794068,0099999998;0,2967582101565267
295;16340766,299999999;1613480,0;140519,94;4000000,0;2527039,94;0,0987395554393309
