;0
1386;54856,7
1387;31454,95
1388;82567,82
1389;95386,57
1390;191275,83
1391;62082,96
1392;20296,35
1393;32800,91
1394;51114,13
1395;347865,63
1396;182315,27
1397;596951,5
1398;61580,26
1399;67863,96
1400;125674,0
1401;63185,12
1402;110341,77
1403;18097,06
1404;18097,06
1405;123914,56
1406;56427,63
1407;249247,86
1408;42854,83
1409;502696,0
1410;405298,65
1411;94004,15
1412;123160,52
1413;20107,84
1414;256626,31
1415;60323,52
1416;145027,8
1417;9739,74
1418;27786,52
1419;66984,24
1420;125674,0
1421;88851,52
1422;125296,98
1423;33316,18
1424;34811,7
1425;64596,44
1426;502696,0
1427;17091,66
1428;169659,9
1429;11813,36
1430;23124,02
1431;124919,96
1432;25134,8
1433;131957,7
1434;34434,68
1435;49389,88
1436;68618,0
1437;16337,62
1438;9174,2
1439;194920,37
1440;75404,4
1441;6158,03
1442;9025,09
1443;86840,73
1444;158600,59
1445;17091,66
1446;319840,33
1447;15041,92
1448;4021,57
1449;245567,0
1450;64596,44
1451;71508,51
1452;16626,67
1453;7125,72
1454;90078,94
1455;38456,24
1456;24169,62
1457;23083,8
1458;9991,08
1459;25637,5
1460;44614,27
1461;83573,21
1462;106822,9
1463;53411,45
1464;43357,53
1465;120521,37
1466;108372,18
1467;39964,33
1468;47944,63
1469;21113,23
1470;125674,0
1471;250747,91
1472;334788,52
1473;98842,6
1474;203214,86
1475;3518,87
1476;102298,64
1477;70525,11
1478;16149,11
1479;70000,42
1480;176571,97
1481;84276,48
1482;65161,97
1483;33680,63
1484;163627,55
1485;276105,78
1486;63214,02
1487;29910,41
1488;70503,11
1489;110718,79
1490;187631,28
1491;37827,87
1492;119390,3
1493;91239,32
1494;22998,34
1495;30915,8
1496;83573,21
1497;92345,26
1498;195423,07
1499;125422,65
1500;27019,91
1501;502696,0
1502;53537,12
1503;109839,08
1504;5655,33
1505;11750,52
1506;89354,21
1507;125674,0
1508;147415,6
1509;44398,11
1510;25511,82
1511;25253,94
1512;265234,98
1513;237461,02
1514;7540,44
1515;13572,79
1516;71382,83
1517;37953,55
1518;258574,26
1519;48761,51
1520;22244,3
1521;293514,43
1522;73267,94
1523;160360,02
1524;9299,88
1525;78797,6
1526;59946,5
1527;63716,72
1528;13037,42
1529;47053,31
1530;15583,58
1531;502696,0
1532;22872,67
1533;85081,3
1534;25888,84
1535;117714,09
1536;147289,93
1537;502696,0
1538;80180,01
1539;82567,82
1540;42370,83
1541;3267,52
1542;105691,83
1543;26265,87
1544;32947,95
1545;502696,0
1546;120647,04
1547;205602,66
1548;87667,67
1549;54958,5
1550;12456,81
1551;74021,99
1552;108833,68
1553;255507,81
1554;83070,51
1555;10682,29
1556;121024,06
1557;99156,79
1558;39650,01
1559;72269,46
1560;115745,75
1561;468009,98
1562;34686,02
1563;16086,27
1564;37450,85
1565;46876,4
1566;502696,0
1567;14829,53
1568;22927,34
1569;88536,64
1570;26014,52
1571;45965,27
1572;60917,33
1573;103797,3
1574;25125,95
1575;55924,93
1576;84201,58
1577;173430,12
1578;32675,24
1579;32549,57
1580;48133,14
1581;46876,4
1582;122909,17
1583;88097,47
1584;125674,0
1585;50772,3
1586;177954,38
1587;76912,49
